id,tag,building\.id,building\.name
1567477,M-195,213240,Atkinson Middle School (AMS)
1567478,M-196,213240,Atkinson Middle School (AMS)
1567479,M-197,213240,Atkinson Middle School (AMS)
1567480,M-198,213240,Atkinson Middle School (AMS)
1567481,M-199,213240,Atkinson Middle School (AMS)
1567482,M-200,213240,Atkinson Middle School (AMS)
1567483,M-201,213240,Atkinson Middle School (AMS)
1567484,M-202,213240,Atkinson Middle School (AMS)
1567485,M-203,213240,Atkinson Middle School (AMS)
1567486,M-204,213240,Atkinson Middle School (AMS)
1567487,M-205,213240,Atkinson Middle School (AMS)
1567488,M-206,213240,Atkinson Middle School (AMS)
1567489,M-207,213240,Atkinson Middle School (AMS)
1567490,M-208,213240,Atkinson Middle School (AMS)
1567491,M-209,213240,Atkinson Middle School (AMS)
1567492,M-210,213240,Atkinson Middle School (AMS)
1567493,M-211,213240,Atkinson Middle School (AMS)
1567494,M-212,213240,Atkinson Middle School (AMS)
1567495,M-213,213240,Atkinson Middle School (AMS)
1567496,M-214,213240,Atkinson Middle School (AMS)
1567497,M-215,213240,Atkinson Middle School (AMS)
1567498,M-216,213240,Atkinson Middle School (AMS)
1567499,M-217,213240,Atkinson Middle School (AMS)
1567500,M-218,213240,Atkinson Middle School (AMS)
1567501,M-219,213240,Atkinson Middle School (AMS)
1567502,M-220,213240,Atkinson Middle School (AMS)
1567503,M-221,213240,Atkinson Middle School (AMS)
1567504,M-222,213240,Atkinson Middle School (AMS)
1567505,M-223,213240,Atkinson Middle School (AMS)
1567506,M-224,213240,Atkinson Middle School (AMS)
1567507,M-225,213240,Atkinson Middle School (AMS)
1567508,M-226,213240,Atkinson Middle School (AMS)
1567509,M-227,213240,Atkinson Middle School (AMS)
1567510,M-228,213240,Atkinson Middle School (AMS)
1567511,M-229,213240,Atkinson Middle School (AMS)
1567512,M-230,213240,Atkinson Middle School (AMS)
1567513,M-231,213240,Atkinson Middle School (AMS)
1567514,M-232,213240,Atkinson Middle School (AMS)
1656155,M-1,213506,Charles W. Harris School
1656156,M-2,213506,Charles W. Harris School
1656157,M-3,213506,Charles W. Harris School
1656158,M-4,213506,Charles W. Harris School
1656159,M-5,213506,Charles W. Harris School
1656160,M-6,213506,Charles W. Harris School
1656161,M-7,213506,Charles W. Harris School
1656162,M-8,213506,Charles W. Harris School
1656163,M-11,213506,Charles W. Harris School
1656164,M-13,213506,Charles W. Harris School
1656165,M-14,213506,Charles W. Harris School
1656166,M-16,213506,Charles W. Harris School
1656167,M-15,213506,Charles W. Harris School
1656168,M-17,213506,Charles W. Harris School
1656169,M-18,213506,Charles W. Harris School
1656170,M-20,213506,Charles W. Harris School
1656171,M-21,213506,Charles W. Harris School
1656172,M-22,213506,Charles W. Harris School
1656173,M-23,213506,Charles W. Harris School
1656174,M-27,213506,Charles W. Harris School
1656175,M-28,213506,Charles W. Harris School
1656176,M-29,213506,Charles W. Harris School
1656177,M-30,213506,Charles W. Harris School
1656178,M-31,213506,Charles W. Harris School
1656179,M-33,213506,Charles W. Harris School
1656180,M-34,213506,Charles W. Harris School
1656181,M-35,213506,Charles W. Harris School
1656182,M-36,213506,Charles W. Harris School
1656183,M-37,213506,Charles W. Harris School
1656184,M-38,213506,Charles W. Harris School
1656185,M-39,213506,Charles W. Harris School
1656186,M-40,213506,Charles W. Harris School
1656187,M-41,213506,Charles W. Harris School
1656188,M-42,213506,Charles W. Harris School
1656189,M-43,213506,Charles W. Harris School
1656190,M-44,213506,Charles W. Harris School
1656191,M-45,213506,Charles W. Harris School
1656192,M-46,213506,Charles W. Harris School
1656193,M-47,213506,Charles W. Harris School
1656194,M-48,213506,Charles W. Harris School
1656195,M-50,213506,Charles W. Harris School
1656196,M-53,213506,Charles W. Harris School
1656197,M-54,213506,Charles W. Harris School
1656198,M-55,213506,Charles W. Harris School
1656199,M-57,213506,Charles W. Harris School
1656200,M-58,213506,Charles W. Harris School
1656201,M-61,213506,Charles W. Harris School
1666107,M-54,213507,Desert Sands Middle School
1666108,M-1,213509,Estrella Middle School
1666109,M-2,213509,Estrella Middle School
1666110,M-3,213509,Estrella Middle School
1666111,M-6,213509,Estrella Middle School
1666112,M-7,213509,Estrella Middle School
1666113,M-8,213509,Estrella Middle School
1666114,M-9,213509,Estrella Middle School
1666115,M-10,213509,Estrella Middle School
1666116,M-11,213509,Estrella Middle School
1666117,M-12,213509,Estrella Middle School
1666118,M-13,213509,Estrella Middle School
1666119,M-15,213509,Estrella Middle School
1666120,M-17,213509,Estrella Middle School
1666121,M-18,213509,Estrella Middle School
1666122,M-20,213509,Estrella Middle School
1666123,M-21,213509,Estrella Middle School
1666124,M-22,213509,Estrella Middle School
1666125,M-23,213509,Estrella Middle School
1666126,M-24,213509,Estrella Middle School
1666127,M-25,213509,Estrella Middle School
1666128,M-26,213509,Estrella Middle School
1666129,M-27,213509,Estrella Middle School
1666130,M-28,213509,Estrella Middle School
1666131,M-29,213509,Estrella Middle School
1666132,M-30,213509,Estrella Middle School
1666133,M-31,213509,Estrella Middle School
1666134,M-32,213509,Estrella Middle School
1666135,M-33,213509,Estrella Middle School
1666136,M-34,213509,Estrella Middle School
1666137,M-35,213509,Estrella Middle School
1666138,M-36,213509,Estrella Middle School
1666139,M-37,213509,Estrella Middle School
1666140,M-38,213509,Estrella Middle School
1666141,M-39,213509,Estrella Middle School
1666142,M-40,213509,Estrella Middle School
1666143,M-41,213509,Estrella Middle School
1666144,M-42,213509,Estrella Middle School
1666145,M-43,213509,Estrella Middle School
1666146,M-45,213509,Estrella Middle School
1666147,M-46,213509,Estrella Middle School
1666148,M-47,213509,Estrella Middle School
1666149,M-48,213509,Estrella Middle School
1666150,M-49,213509,Estrella Middle School
1666151,M-50,213509,Estrella Middle School
1666152,M-51,213509,Estrella Middle School
1666153,M-52,213509,Estrella Middle School
1666154,M-53,213509,Estrella Middle School
1666155,M-56,213509,Estrella Middle School
1666156,M-57,213509,Estrella Middle School
1666157,M-58,213509,Estrella Middle School
1666158,M-59,213509,Estrella Middle School
1666159,M-60,213509,Estrella Middle School
1666160,M-61,213509,Estrella Middle School
1666161,M-62,213509,Estrella Middle School
1666162,M-63,213509,Estrella Middle School
1666163,M-64,213509,Estrella Middle School
1666164,M-65,213509,Estrella Middle School
1666165,M-66,213509,Estrella Middle School
1666166,M-67,213509,Estrella Middle School
1666167,M-68,213509,Estrella Middle School
1666168,M-69,213509,Estrella Middle School
1666169,M-70,213509,Estrella Middle School
1666170,M-71,213509,Estrella Middle School
1666172,M-72,213509,Estrella Middle School
1666173,M-74,213509,Estrella Middle School
1666174,M-75,213509,Estrella Middle School
1666175,M-76,213509,Estrella Middle School
1666176,M-77,213509,Estrella Middle School
1666177,M-78,213509,Estrella Middle School
1666178,M-81,213509,Estrella Middle School
1666179,M-82,213509,Estrella Middle School
1666180,M-83,213509,Estrella Middle School
1666181,M-84,213509,Estrella Middle School
1666182,M-86,213509,Estrella Middle School
1666183,M-87,213509,Estrella Middle School
1666184,M-89,213509,Estrella Middle School
1666185,M-90,213509,Estrella Middle School
1666186,M-91,213509,Estrella Middle School
1666187,M-92,213509,Estrella Middle School
1666188,M-93,213509,Estrella Middle School
1666189,M-94,213509,Estrella Middle School
1666190,M-95,213509,Estrella Middle School
1666191,M-96,213509,Estrella Middle School
1666192,M-97,213509,Estrella Middle School
1666193,M-98,213509,Estrella Middle School
1666194,M-99,213509,Estrella Middle School
1666195,M-100,213509,Estrella Middle School
1666196,M-101,213509,Estrella Middle School
1666197,M-102,213509,Estrella Middle School
1666198,M-104,213509,Estrella Middle School
1666199,M-105,213509,Estrella Middle School
1666200,M-107,213509,Estrella Middle School
1666201,M-108,213509,Estrella Middle School
1666202,M-109,213509,Estrella Middle School
1666203,M-110,213509,Estrella Middle School
1666204,M-111,213509,Estrella Middle School
1666205,M-112,213509,Estrella Middle School
1666206,M-114,213509,Estrella Middle School
1666207,M-115,213509,Estrella Middle School
1666208,M-116,213509,Estrella Middle School
1666209,M-117,213509,Estrella Middle School
1666210,M-118,213509,Estrella Middle School
1666211,M-120,213509,Estrella Middle School
1666212,M-121,213509,Estrella Middle School
1666213,M-122,213509,Estrella Middle School
1666214,M-123,213509,Estrella Middle School
1656074,M-1,213511,Frank Borman School
1656075,M-2,213511,Frank Borman School
1656076,M-3,213511,Frank Borman School
1656077,M-4,213511,Frank Borman School
1656078,M-5,213511,Frank Borman School
1656079,M-6,213511,Frank Borman School
1656080,M-7,213511,Frank Borman School
1656081,M-8,213511,Frank Borman School
1656082,M-11,213511,Frank Borman School
1656083,M-13,213511,Frank Borman School
1656084,M-14,213511,Frank Borman School
1656085,M-16,213511,Frank Borman School
1656086,M-15,213511,Frank Borman School
1656087,M-17,213511,Frank Borman School
1656088,M-18,213511,Frank Borman School
1656089,M-20,213511,Frank Borman School
1656090,M-21,213511,Frank Borman School
1656091,M-22,213511,Frank Borman School
1656092,M-23,213511,Frank Borman School
1656093,M-27,213511,Frank Borman School
1656094,M-28,213511,Frank Borman School
1656095,M-29,213511,Frank Borman School
1656096,M-30,213511,Frank Borman School
1656097,M-31,213511,Frank Borman School
1656098,M-32,213511,Frank Borman School
1656099,M-33,213511,Frank Borman School
1656100,M-34,213511,Frank Borman School
1656101,M-35,213511,Frank Borman School
1656102,M-36,213511,Frank Borman School
1656103,M-37,213511,Frank Borman School
1656104,M-38,213511,Frank Borman School
1656105,M-39,213511,Frank Borman School
1656106,M-40,213511,Frank Borman School
1656107,M-41,213511,Frank Borman School
1656108,M-42,213511,Frank Borman School
1656109,M-43,213511,Frank Borman School
1656110,M-44,213511,Frank Borman School
1656111,M-45,213511,Frank Borman School
1656112,M-46,213511,Frank Borman School
1656113,M-47,213511,Frank Borman School
1656114,M-48,213511,Frank Borman School
1656115,M-50,213511,Frank Borman School
1656116,M-53,213511,Frank Borman School
1656117,M-54,213511,Frank Borman School
1656118,M-55,213511,Frank Borman School
1656119,M-56,213511,Frank Borman School
1656120,M-57,213511,Frank Borman School
1656121,M-59,213511,Frank Borman School
1656122,M-60,213511,Frank Borman School
1656123,M-61,213511,Frank Borman School
1656124,M-62,213511,Frank Borman School
1656125,M-63,213511,Frank Borman School
1656126,M-64,213511,Frank Borman School
1656127,M-65,213511,Frank Borman School
1656128,M-66,213511,Frank Borman School
1656129,M-67,213511,Frank Borman School
1656130,M-68,213511,Frank Borman School
1656131,M-69,213511,Frank Borman School
1656132,M-70,213511,Frank Borman School
1656133,M-71,213511,Frank Borman School
1656134,M-72,213511,Frank Borman School
1656136,M-73,213511,Frank Borman School
1656137,M-74,213511,Frank Borman School
1656138,M-75,213511,Frank Borman School
1656139,M-76,213511,Frank Borman School
1656140,M-77,213511,Frank Borman School
1656141,M-78,213511,Frank Borman School
1656142,M-79,213511,Frank Borman School
1656143,M-80,213511,Frank Borman School
1656144,M-81,213511,Frank Borman School
1656145,M-82,213511,Frank Borman School
1656146,M-83,213511,Frank Borman School
1656147,M-84,213511,Frank Borman School
1656148,M-85,213511,Frank Borman School
1656149,M-86,213511,Frank Borman School
1656150,M-87,213511,Frank Borman School
1656151,M-91,213511,Frank Borman School
1656152,M-92,213511,Frank Borman School
1656153,M-94,213511,Frank Borman School
1656154,M-97,213511,Frank Borman School
1656003,M-1,213516,Justine Spitalny School
1656004,M-2,213516,Justine Spitalny School
1656005,M-3,213516,Justine Spitalny School
1656006,M-4,213516,Justine Spitalny School
1656007,M-5,213516,Justine Spitalny School
1656008,M-6,213516,Justine Spitalny School
1656009,M-7,213516,Justine Spitalny School
1656010,M-8,213516,Justine Spitalny School
1656011,M-9,213516,Justine Spitalny School
1656012,M-10,213516,Justine Spitalny School
1656013,M-11,213516,Justine Spitalny School
1656014,M-12,213516,Justine Spitalny School
1656015,M-13,213516,Justine Spitalny School
1656016,M-14,213516,Justine Spitalny School
1656017,M-16,213516,Justine Spitalny School
1656018,M-15,213516,Justine Spitalny School
1656019,M-17,213516,Justine Spitalny School
1656020,M-18,213516,Justine Spitalny School
1656021,M-20,213516,Justine Spitalny School
1656022,M-21,213516,Justine Spitalny School
1656023,M-22,213516,Justine Spitalny School
1656024,M-23,213516,Justine Spitalny School
1656025,M-24,213516,Justine Spitalny School
1656026,M-25,213516,Justine Spitalny School
1656027,M-26,213516,Justine Spitalny School
1656028,M-27,213516,Justine Spitalny School
1656029,M-28,213516,Justine Spitalny School
1656030,M-29,213516,Justine Spitalny School
1656031,M-30,213516,Justine Spitalny School
1656032,M-31,213516,Justine Spitalny School
1656033,M-32,213516,Justine Spitalny School
